Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available
ABL Workspaces,Delhi NCT,"g, 56, Green Park Ext Rd, Block J, Green Park Extension, Green Park, New Delhi, Delhi 110016, India",AMAN 	,Delhi (NCT),Green Park Extension,500,GOLD,LIVE,"[""Wifi"",""Stationary"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup"",""Reception"",""Wifi""]",12000,0,15000,GOLD,ABL Workspaces,4.6,232,81
Regus Elegance,Delhi NCT,"2/F, Elegance, Tower A, Old, Mathura Road, Badarpur, New Delhi, Delhi 110025",,Delhi (NCT),Nehru Place,700,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Parking"",""Meeting Room"",""F&B Cafe""]",0,15762,18399,PLATINUM,Regus Elegance,4.2,80,13
WorkFlo Umiya Emporium,Bengaluru,"4th and 5th Floor, Umiya Emporium, Hosur Rd, opposite The Forum Mall, Tavarekere, Kaveri Layout, Koramangala, Bengaluru, Karnataka 560029, India","Akshata Mugalihal,ShivamKotha",Karnataka,Koramangala,400,GOLD,NOT LIVE,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Meeting Room"",""Reception""]",0,6499,7399,GOLD,WorkFlo Umiya Emporium-I,3.6,296,21
Ambience Mall,Gurgaon,"7th Floor, Ambience Mall, NH-8 Ambience Island, DLF Phase 3",Awfis,Haryana,DLF Phase 3,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,PLATINUM,SW Canis Minor NH-8,4.3,308,68
Spring House Coworking,Gurgaon,"Sector 44, Delta Towers, plot no – 54, Gurgaon, Haryana",Prashant Mishra,Haryana,Sector 44,500,GOLD,LIVE,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",4500,0,6000,GOLD,Spring House Coworking,4.7,196,71
Team Co Work-I,Delhi NCT,"55, 2nd Floor, Westend Marg, Saidullajab, Gali Number 2, New Delhi, Delhi 110030",,Delhi (NCT),Netaji Subhash Place,350,SILVER,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Smoking Room"",""Printer/Scanner""]",6000,6500,7500,SILVER,Team Co Work-I,3.5,145,28
BKC,Mumbai,"10th Floor, Parinee Cresenzo, C-30, G Block, Bandra Kurla Complex, Bandra East BKC Mumbai 400051",,Maharashtra,Bandra Kurla Complex,800,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",2250,4500,20000,PLATINUM+,BKC,4.4,302,89
Spring House Coworking-II,Gurgaon,"4th Floor, JMD Regent Arcade, MG Road, near Sikanderpur metro station, Gurugram, Haryana 122001",Anup Samal ,Haryana,Sector 28,850,PLATINUM+,LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area""]",12000,0,15000,PLATINUM+,SHGU006,3.9,62,14
Space 1,Delhi NCT,"68, Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi 110020",,Delhi (NCT),,0,STANDARD,LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Smoking Room""]",0,0,3750,STANDARD,Stylework Space,3.8,209,63
ABL Workspaces,Gurgaon,"Plot no. 44, Sector 44, Gurgaon, Haryana",,Haryana,Sector 44,500,GOLD,NOT LIVE,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Reception"",""Wifi""]",7450,9000,9000,GOLD,ABL Workspaces,4.6,485,44
Innov8 Fairmount,Mumbai,"Plot number 4 and 6, Palm Beach Rd, Sector 17, Sanpada, Navi Mumbai, Maharashtra 400705",,Maharashtra,Andheri East,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,STANDARD,Innov8 Fairmount,3.8,356,58
Innov8 Rasvilas Saket,Delhi NCT,"Lower Ground Floor, Saket Salcon Rasvilas, Saket District Centre, Sector 6, Pushp Vihar, Saket, New Delhi, Delhi 110017",,Delhi (NCT),Janakpuri,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,7199,8449,STANDARD,Innov8 Rasvilas Saket,4.0,377,31
Innov8 Vikhroli,Mumbai,"P2-4, Kailash Business Park, C-WING, Park Site Rd, HMPL Surya Nagar, Vikhroli West, Mumbai, Maharashtra- 400079",,Maharashtra,Andheri East,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,5400,6199,STANDARD,Innov8 Vikhroli,4.9,126,40
Novel Office,Bengaluru,"46/4, Hosur Rd, Kudlu Gate, Krishna Reddy Industrial Area, H.S, R Extension, Bengaluru, Karnataka 560068","Vedik , Saajan Charles",Karnataka,Garvebhavi Palya,650,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""24*7 Access"",""Reception"",""Power Backup""]",0,0,0,PLATINUM,Novel Office,3.6,343,89
WorkFlo Ranka - OYO Corporate Office ,Bengaluru,"Plot number:224, Ranka Group Building, F C I Godown Main Rd, Krishna Reddy Industrial Estate, Dooravani Nagar, Bengaluru, Karnataka 560016, India",Jessy Veronica,Karnataka,Dooravani Nagar,400,GOLD,NOT LIVE,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Meeting Room"",""Reception""]",0,5499,7499,GOLD,WorkFlo Ranka,4.4,315,64
Godrej Eternia,Pune,"A3 Godrej Enternia 7th & 8th Floor Old Mumbai Pune Highway, Shivaji Nagar Wakdewadi Rd, Pune, Maharashtra 411005",,Maharashtra,Pimpri Colony,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,11000,PLATINUM,Godrej Eternia,3.5,237,74
Camac Street,Kolkata,"4th Floor, Sri Manjari, 1, Camac Street, Kolkata, West Bengal 700016",,West Bengal,Taltala,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11500,GOLD,Camac Street,4.4,443,17
Space 3,Delhi NCT,"68, Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi 110020",Contact,Delhi (NCT),,0,STANDARD,LIVE,[],0,0,0,STANDARD,,3.9,99,61
Awfis-Sector 44 Gurugram,Gurgaon,"7, Sector 44, Gurugram, Haryana 122022",,Haryana,Sector 44,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,14000,PLATINUM,SW Canis Major Sec 44,4.5,496,28
Innov8 Koramangala,Bengaluru,"No. 3, 20 Main Rd, 7th Block, Koramangala industrial layout, Koramangala, Bangalore 560095",,Karnataka,Kaikondrahalli,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Meeting Room"",""Reception""]",0,5400,6199,STANDARD,Innov8 Koramangala,4.2,128,18
Space 4,Delhi NCT,"68, Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi 110020",Contact,Delhi (NCT),,0,STANDARD,LIVE,[],0,0,0,STANDARD,,3.7,485,21
Regus Spaces Noida Max Tower,Noida,"Plot no C, Sector 16 B, DND flyway Max Towers, 001A, Noida, Uttar Pradesh 201301",,Uttar Pradesh,Sector 18,600,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""F&B Cafe""]",0,17190,0,PLATINUM,Regus Spaces Noida Max Tower,3.6,93,8
Spring House Coworking,Gurgaon,"1003, DLF Phase IV, Sector 28, Gurugram, Haryana 122002, India",,Haryana,Sector 28,350,SILVER,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",6000,0,7500,SILVER,Spring House Coworking,4.3,425,83
GoHive,Gurgaon,"GoHive Suncity, 402, Suncity Arcade, Golf Course Road, Suncity, Sector 54, Gurugram, Haryana 122002",,Haryana,Sector 48,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Parking""]",0,8000,10000,STANDARD,GoHive,3.6,308,81
Space 5,Delhi NCT,"Level 2, Augusta Point, Golf Course Road, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122002, India",Person Name,Delhi (NCT),Kalkaji,0,STANDARD,LIVE,[],8000,0,0,PLATINUM+,Space 5,4.2,158,24
Cessna Business Park,Bengaluru,"8th Flooor Umiya Business Bay No.2 Cessna Business Park, Outer Ring Rd, Kaverappa Layout, Kadubeesanahalli, Bengaluru, Karnataka 560103",,Karnataka,Kadabeesanahalli,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",2500,2500,13000,GOLD,Cessna Business Park,4.3,317,29
Regus District Centre,Delhi NCT,"B Wing Prius Platinum Tower 1st Floor, New Delhi, Delhi 110017",Sanjeet,Delhi (NCT),Saket,1150,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Parking"",""Meeting Room"",""F&B Cafe""]",0,19149,20090,PLATINUM+,Regus District Centre,4.2,309,24
WorkFlo VKG Centre,Mumbai,"4th Floor, VKG Corporate Center, Marol Pipeline Road, Chakala, Andheri East, Mumbai - 400059",,Maharashtra,Andheri East,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,STANDARD,WorkFlo VKG Centre,4.9,231,55
ABL Workspaces,Gurgaon,"Building No. 8A, Ground Floor, Cyber Hub, DLF Cyber City, Gurugram, Haryana 122002",,Haryana,Sector 48,500,GOLD,NOT LIVE,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Reception"",""Wifi""]",11900,20000,20000,GOLD,ABL Workspaces,3.8,76,87
Hinjawadi,Pune,"Floor - 5, Midas Tower, Plot - 44, Phase 1, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057",,Maharashtra,Hinjawadi,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,0,PLATINUM,Hinjawadi,3.6,388,98
Golf Course Road,Gurgaon,"Level 2, Augusta Point, Sector 53",,Haryana,Sector 53,800,PLATINUM+,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",2500,3800,14000,PLATINUM+,Golf Course Road,3.9,455,15
Qutab C Block,Delhi NCT,"Ground Floor, C 28-29, Block C, Qutab Institutional Area, New Delhi, Delhi 110016",,Delhi (NCT),Qutab Institutional Area,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Qutab C Block,4.9,414,83
ABL Workspaces,Gurgaon,"2nd Floor, Two Horizon Centre, Golf Course Road, DLF Phase 5, Sector 43, Gurugram, Haryana 122002",,Haryana,DLF Phase 5,500,GOLD,NOT LIVE,"[""Parking"",""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Wifi""]",13900,30000,30000,GOLD,ABL Workspaces,3.5,417,62
BKC 2,Mumbai,"Parinee Crescenzo, 1B-102 or 1B- 1st Floor, G Block BKC, Bandra Kurla Complex, Bandra East BKC Mumbai 400051",,Maharashtra,Bandra East,800,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",2250,4500,20000,PLATINUM+,BKC 2,4.3,482,28
WorkFlo By OYO,Chennai,"Phase 1, workflows by oyo, GREETA TOWERS, Greeta Techpark, 99, Rajiv Gandhi Salai, Industrial Estate, Perungudi, Chennai, Tamil Nadu 600096, India",Boobalan S	,Tamil Nadu,Perungudi,400,GOLD,NOT LIVE,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Power Backup""]",3999,4599,5999,GOLD,WorkFlo Greeta Towers,4.2,498,84
Sprout Box,Delhi NCT,"D-181, Okhla Industrial Area Phase 1, Pocket D, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020, India",Anam Shah,Delhi (NCT),Okhla Phase I,0,STANDARD,LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""Food"",""Power Backup""]",8000,0,0,PLATINUM+,Sprout Box,3.6,402,70
Mumbai Coworking,Mumbai,"602, B, Annapurna Building, Off New Link Rd, near Adarsh Nagar, above Delicacy of China, Oshiwara, Andheri West, W, Mumbai, Maharashtra 400102, India",Farin,Maharashtra,Andheri West,1000,PLATINUM+,LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,15000,PLATINUM+,Mumbai Coworking,4.1,15,96
CoWonders Magarpatta,Pune,"Survey No 137, Marvel Fuego, Magarpatta Rd, opp. SEASONS MALL, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028, India",Dhaval Parikh,Maharashtra,Hadapsar,0,STANDARD,LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Common Area"",""Reception"",""Power Backup""]",0,0,15000,STANDARD,CoWonders Magarpatta,4.8,45,58
Cowonder baner,Pune,"Sr. No 5, The Capital, ROLLING HILLS, B-401, Baner - Pashan Link Rd, next to Nano Space IT Park, Baner, Pune, Maharashtra 411021",Dhaval Parikh,Maharashtra,Baner,0,STANDARD,LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Reception"",""Food"",""Power Backup""]",8000,0,12000,GOLD,Cowonder baner,4.8,316,56
Innov8 Magnum Tower,Gurgaon,"Magnum Towers, Golf Course Ext Rd, Sector 58, Gurugram, Haryana 122011",,Haryana,Sector 50,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,5400,6199,STANDARD,Innov8 Magnum Tower,4.9,177,18
Cygnus Off Link Road,Mumbai,"Modi House, 2nd & 3rd Floor, Dalia Industrial Estate, Off, New Link Road, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",,Maharashtra,Jogeshwari West,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Cygnus Off Link Road,4.0,310,49
Regus Spaces,Gurgaon,"Cyber City, 15th - 16th Floors, Tower-9A, DLF Phase 3, Gurugram, Haryana 122002",,Haryana,Dlf Phase 1,900,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,18000,0,PLATINUM+,Regus Spaces,4.4,225,17
Lodha Supremus,Mumbai,"16th Floor, Lodha Supremus Saki Vihar Road, Powai, opposite Mtnl Off Jvlr, Mumbai, Maharashtra 400072",,Maharashtra,Powai,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,PLATINUM,Lodha Supremus,4.3,309,49
Whizdom Club,Delhi NCT,"Savitri Cinema Complex, Inder Mohan Bhardwaj Marg, Block E, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048, India",Dhwani,Delhi (NCT),Greater Kailash,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Smoking Room"",""Services(Courier/Admin)"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Gaming Room"",""Food"",""Power Backup"",""Leased Line""]",6000,0,0,GOLD,Whizdom Club,3.8,262,100
Supremework,Gurgaon,"121, Sector 44 Rd, Sector 44, Gurugram, Haryana 122003, India",prerna,Haryana,Sector 44,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup"",""F&B Cafe""]",5500,0,0,PLATINUM,Supremework,4.5,230,24
Supremework,Noida,"Film City Rd, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",Chetanya,Uttar Pradesh,Film City,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup""]",9000,0,0,PLATINUM+,Supremework,3.6,311,62
Indiranagar,Bengaluru,"3rd Floor, 721, Chinmaya Mission Hospital Rd, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru, Karnataka 560038",,Karnataka,Indiranagar,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,2500,11000,GOLD,Indiranagar,4.4,25,37
GK Mall,Pune,"3rd, 4th & 5th Floor, G.K.Mall, above Pantaloons (GK Mall, Pune, Maharashtra ), near Kokane Chowk, Pimple Saudagar, Pune, Maharashtra 411027, India",AWFIS,Maharashtra,Pimple Saudagar,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,GK Mall,4.0,327,63
Raheja Towers,Bengaluru,"Raheja Towers, 26/27, M.G Road, Bengaluru, Karnataka 560001",,Karnataka,Ashok Nagar,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,2500,13000,GOLD,Raheja Towers,4.9,347,81
Hosur Road,Bengaluru," A block, 2nd Floor, Dayananda Sagar University Kudlu Gate, Hongasandra Village Begur Hobli, Hosur Rd, Bengaluru, Karnataka 560068",,Karnataka,Singasandra,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,2500,11000,GOLD,Hosur Road,3.6,234,47
